~                     val  A   X   a   B   J   b   C   c   D   d   E   e   F   f   U   G   g   H   h   I   L   Q   Z   u   M   m   q   v   o   x   N   n   Y   O   P   R   r   y   z   t   K   k   T   V   W   w   j   p   t
AlbertLea(A)           S   ~   ~  22   ~   ~   ~   ~   ~   ~   ~   ~   ~  59   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  35   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  33   ~   ~   ~   ~
Alexandria(X)          ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  49   ~   ~   ~   ~   ~   ~   ~  55   ~   ~   ~   ~   ~   ~  47   ~   ~   ~   ~   ~   ~   ~  68   ~   ~   ~   ~   ~   ~   ~  65   ~   ~   ~
Austin(a)              ~  22   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~ 100   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  34   ~   ~  41   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Baudette(B)            ~   ~   ~   ~   ~ 101   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~ 131   ~   ~  70   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~ 144   ~   ~   ~   ~   ~   ~   ~   ~   ~ 122   ~   ~   ~   ~   ~   ~
Bemidji(J)             ~   ~   ~   ~ 101   ~  97   ~  88  91   ~   ~   ~   ~   ~   ~   ~  69   ~   ~ 114   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  92   ~   ~   ~   ~   ~   ~
Brainerd(b)            ~   ~   ~   ~   ~  97   ~  98   ~  92   ~   ~   ~   ~   ~ 100   ~  83   ~   ~   ~   ~   ~  32   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Cloquet(C)             G   ~   ~   ~   ~   ~  98   ~   ~   ~  21   ~   ~   ~   ~   ~   ~  71  71   ~   ~   ~   ~   ~   ~   ~   ~ 136   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~ 127 133   ~   ~ 139   ~  60   ~   ~   ~   ~   ~
Crookston(c)           ~   ~   ~   ~   ~  88   ~   ~   ~  92   ~  25   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  68   ~   ~   ~  88   ~   ~   ~   ~   ~   ~   ~   ~   ~  44   ~   ~   ~   ~   ~   ~
DetroitLakes(D)        ~   ~   ~   ~   ~  91  92   ~  92   ~   ~   ~   ~   ~   ~  48   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  44   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  96   ~   ~   ~   ~   ~   ~
Duluth(d)              ~   ~   ~   ~   ~   ~   ~  21   ~   ~   ~   ~   ~   ~   ~   ~ 151  83  76   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  64   ~   ~   ~   ~   ~
EastGrandForks(E)      ~   ~   ~   ~   ~   ~   ~   ~  25   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  80   ~   ~   ~  86   ~   ~   ~   ~   ~   ~   ~   ~   ~  50   ~   ~   ~   ~   ~   ~
Ely(e)                 ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~ 152   ~   ~   ~ 136   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  49   ~   ~   ~   ~   ~
Fairmont(F)            ~  59   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  51   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  49   ~  61
Faribault(f)           ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  43   ~   ~   ~   ~   ~   ~  14   ~  16   ~   ~  59   ~  51  38  41   ~   ~   ~  31   ~   ~   ~   ~
FergusFalls(U)         ~   ~  49   ~   ~   ~ 100   ~   ~  48   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  58  53   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
GrandPortage(G)        ~   ~   ~   ~   ~   ~   ~   ~   ~   ~ 151   ~ 152   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~ 217   ~   ~   ~   ~   ~
GrandRapids(g)         ~   ~   ~   ~ 131  69  83  71   ~   ~  83   ~   ~   ~   ~   ~   ~   ~  34   ~ 121   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
Hibbing(H)             ~   ~   ~   ~   ~   ~   ~  71   ~   ~  76   ~   ~   ~   ~   ~   ~  34   ~   ~ 100   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  23   ~   ~   ~   ~   ~
Hutchinson(h)          ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  22   ~   ~   ~   ~  61  68   ~   ~  44   ~   ~   ~   ~   ~   ~  49   ~  59  52   ~   ~   ~   ~   ~   ~   ~   ~
InternationalFalls(I)  ~   ~   ~   ~  70 114   ~   ~   ~   ~   ~   ~ 136   ~   ~   ~   ~ 121 100   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  97   ~   ~   ~   ~   ~
LaCrescent(L)          ~   ~   ~ 100   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  71   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  26   ~
Litchfield(Q)          ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  22   ~   ~   ~   ~   ~   ~   ~  67   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  41   ~   ~   ~   ~   ~   ~   ~  28   ~   ~   ~
LittleFalls(Z)         ~   ~  55   ~   ~   ~  32   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~  96   ~   ~   ~   ~   ~   ~   ~  34   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
