~  val  a  b  c  d  e  f  g  h  i  j  k  l  m  n  o  p  q  r  s  t  u  v  w  x  y  z
A    ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
B    ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
C    ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
D    ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
E    ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
F    ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
G    ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
H    ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
I    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
J    ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
K    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
L    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
M    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
N    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
O    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
P    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~
Q    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~
R    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~  ~  ~
S    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~
T    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~  ~  ~
U    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~
V    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~  ~  ~
W    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~
X    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~  ~  ~
Y    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1
Z    ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  ~  1  ~
