~             val  Atl  Bos  Chi  Dal  Den   LA  Mia  Min   NY   SF  Sea  Was
Atlanta       84.4    ~  957  581  725 1220 1942  608  898  752 2155 2201  538
Boston        71.1  957    ~  859 1571 1783 2594 1285 1127  207 2719 2505  420
Chicago       87.6  581  859    ~  803  928 1736 1185  354  718 1876 1758  601
Dallas        96.8  725 1571  803    ~  667 1248 1116  851 1384 1494 1698 1190
Denver       105.0 1220 1783  928  667    ~  812 1736  697 1645  957 1033 1507
LosAngeles   118.3 1942 2594 1736 1248  812    ~ 2357 1500 2451  313  923 2301
Miami         80.2  608 1285 1185 1116 1736 2357    ~ 1505 1097 2611 2755  917
Minneapolis   93.3  898 1127  354  851  697 1500 1505    ~ 1024 1597 1415  940
NewYork       74.0  752  207  718 1384 1645 2451 1097 1024    ~ 2594 2430  213
SanFrancisco 122.4 2155 2719 1876 1494  957  313 2611 1597 2594    ~  691 2464
Seattle      122.3 2201 2505 1758 1698 1033  923 2755 1415 2430  691    ~ 2354
Washington    77.0  538  420  601 1190 1507 2301  917  940  213 2464 2354    ~
