~                       val ALe Alx Aus Bau Bem Bra Clq Crk DLk Dul EGF Ely Fmt Frb FFl GPo GRa Hib Hut IFl LCr Lit LFa Luv Mkt Mar Mpl Mvo Mrh Mor NUl Nfd Noy Owa Pip RWi Rch SCl SPl SPt Skp Stl TRF Vir Was Wlm Wnd Win Wrt
AlbertLea             43.64   ~ 228  22 432 322 229 230 396 301 249 408 339  59  49 272 399 301 300 145 388 122 158 198 148  63 177  96 220 328 252  89  62 489  35 173  99  64 161  98  72  91 118 396 290  33 174 104 105 116
Alexandria            45.89 228   ~ 243 237 133  87 195 173  95 213 184 304 208 181  49 364 170 204 112 248 288  83  55 201 203 119 135  79 105  47 145 175 266 197 176 197 219  68 143 190 144 151 188 255 212  65 159 270 190
Austin                43.67  22 243   ~ 447 336 243 245 411 315 263 422 353  78  62 286 413 315 315 160 402 100 172 213 166  88 196 111 239 342 267 115  76 499  34 192  87  41 176 113  99 105 133 410 304  59 200 123  82 134
Baudette              48.71 432 237 447   ~ 101 202 202 186 194 211 166 207 451 385 242 359 131 170 309  70 479 300 231 428 400 361 338 316 235 282 352 379 144 401 403 386 411 261 334 387 341 340 122 167 416 292 387 462 417
Bemidji               47.47 322 133 336 101   ~  97 139  88  91 149 113 174 346 274 138 303  69 103 204 114 375 196 126 325 296 257 228 213 134 179 248 268 177 290 300 282 306 157 230 283 238 239  92 126 305 189 284 358 314
Brainerd              46.36 229  87 243 202  97   ~  98 184  92 115 209 188 253 181 100 265  83 116 111 204 282 103  32 260 203 192 135 162 135 128 155 175 272 197 235 196 213  64 137 190 145 146 187 139 212 124 219 265 249
Cloquet               46.72 230 195 245 202 139  98   ~ 228 189  21 253 108 286 183 197 172  71  71 176 157 277 168 129 374 216 257 136 227 232 220 232 177 316 199 300 182 209 127 133 204 158 139 231  60 214 189 280 260 311
Crookston             47.77 396 173 411 186  88 184 228   ~  92 237  25 262 365 348 126 391 157 191 279 197 455 250 193 309 370 262 302 226  68 178 312 342  88 365 283 354 387 236 311 357 312 319  44 214 379 240 335 438 322
DetroitLakes          46.81 301  95 315 194  91  92 189  92   ~ 207 117 239 306 253  48 357 133 167 183 206 354 172 101 263 275 190 207 148  44 100 226 247 180 269 238 267 285 136 209 262 217 218  96 190 284 162 257 337 256
Duluth                46.79 249 213 263 211 149 115  21 237 207   ~ 265 113 304 201 215 151  83  76 195 161 296 186 147 381 235 275 155 245 250 239 251 195 329 217 318 200 227 146 151 222 176 157 244  64 232 207 299 278 329
EastGrandForks        47.93 408 184 422 166 113 209 253  25 117 265   ~ 288 396 360 138 416 183 217 291 223 467 262 225 320 382 280 319 238  80 194 324 354  86 376 295 371 403 247 322 369 324 331  50 239 391 252 347 450 361
Ely                   47.98 339 304 353 207 174 188 108 262 239 113 288   ~ 394 291 294 152 106  72 285 136 386 276 226 483 325 366 245 335 281 329 341 285 351 307 408 290 317 236 241 312 266 247 266  49 322 297 389 368 419
Fairmont              43.65  59 208  78 451 346 253 286 365 306 304 396 394   ~ 104 260 454 298 357 118 443 177 125 222  93  51 122 153 165 308 200  48 117 465  90 119 154 119 186 154  63 109 173 399 346  83 144  49 160  61
Faribault             44.29  49 181  62 385 274 181 183 348 253 201 360 291 104   ~ 224 351 253 253  97 339 127 111 150 192  43 151  49 165 280 206  70  14 437  16 175  51  59 113  51  38  41  69 347 242  31 138 109 110 160
FergusFalls           46.28 272  49 286 242 138 100 197 126  48 215 138 294 260 224   ~ 366 183 217 155 253 331 126 114 217 246 144 178 102  58  53 188 218 215 240 193 242 263 111 187 233 188 195 142 237 255 116 211 314 210
GrandPortage          47.96 399 364 413 359 303 265 172 391 357 151 416 152 454 351 366   ~ 234 228 345 289 453 337 298 543 385 426 305 395 401 389 401 345 479 368 468 357 377 296 301 372 327 307 394 217 382 357 449 429 479
GrandRapids           47.24 301 170 315 131  69  83  71 157 133  83 183 106 298 253 183 234   ~  34 194 121 348 185 115 342 248 275 207 244 176 210 237 247 245 269 317 255 279 147 180 235 190 209 161  57 284 206 301 331 331
Hibbing               47.42 300 204 315 170 103 116  71 191 167  76 217  72 357 253 217 228  34   ~ 217 100 348 209 148 445 287 298 207 268 209 244 303 248 279 270 341 249 280 168 204 274 229 210 194  23 284 229 351 331 382
Hutchinson            44.89 145 112 160 309 204 111 176 279 183 195 291 285 118  97 155 345 194 217   ~ 321 207  22  81 168  69  99  61  68 212 104  44  92 369 114 141 114 138  49  69  59  52  87 279 236  95  48 106 190 136
InternationalFalls    48.59 388 248 402  70 114 204 157 197 206 161 223 136 443 339 253 289 121 100 321   ~ 434 312 243 531 373 373 293 328 247 294 389 333 213 355 415 346 365 284 289 360 315 295 180  97 370 304 437 417 467
LaCrescent            43.83 122 288 100 479 375 282 277 455 354 296 467 386 177 127 331 453 348 348 207 434   ~ 220 251 266 153 262 152 275 387 313 181 122 544 110 292  88  71 221 148 164 154 162 449 337 124 248 222  26 234
Litchfield+           45.13 158  83 172 300 196 103 168 250 172 186 262 276 125 111 126 337 185 209  22 312 220   ~  73 163  87  95  67  64 182  82  63 104 339 126 138 130 151  41  75  79  74  92 266 228 141  28 121 202 152
LittleFalls           45.98 198  55 213 231 126  32 129 193 101 147 225 226 222 150 114 298 115 148  81 243 251  73   ~ 229 172 162 104 131 144  96 124 144 281 167 204 150 183  34 107 159 114 115 196 171 181  93 188 234 218
Luverne               43.66 148 201 166 428 325 260 374 309 263 381 320 483  93 192 217 543 342 445 168 531 266 163 229   ~ 128  68 208 113 241 166 125 206 397 179  26 243 208 198 243 140 186 262 340 434 172 135  63 249  33
Mankato               44.17  63 203  88 400 296 203 216 370 275 235 382 325  51  43 246 385 248 287  69 373 153  87 172 128   ~ 111  81 132 302 168  30  56 459  47 131  93  84 136  87  13  59 106 370 273  29 111  65 136  95
Marshall              44.45 177 119 196 361 257 192 257 262 190 275 280 366 122 151 144 426 275 298  99 373 262  95 162  68 111   ~ 155  39 200  92  82 142 357 156  43 182 193 130 163 111 131 181 283 317 138  68  73 244  62
Minneapolis           44.98  96 135 111 338 228 135 136 302 207 155 319 245 153  49 178 305 207 207  61 293 152  67 104 208  81 155   ~ 129 234 160  96  43 391  65 197  56  83  68   9  67  22  27 301 197  80  95 144 135 174
Montevideo            44.95 220  79 239 316 213 162 227 226 148 245 238 335 165 165 102 395 244 268  68 328 275  64 131 113 132  39 129   ~ 158  51 101 160 315 179  88 180 207  99 137 124 125 180 242 286 161  37 115 258 106
Moorhead              46.87 328 105 342 235 134 135 232  68  44 250  80 281 308 280  58 401 176 209 212 247 387 182 144 241 302 200 234 158   ~ 109 244 274 157 296 215 296 319 167 243 289 244 251 109 233 311 172 267 370 266
Morris                45.59 252  47 267 282 179 128 220 178 100 239 194 329 200 206  53 389 210 244 104 294 313  82  96 166 168  92 160  51 109   ~ 137 200 266 222 136 217 244  93 168 160 169 177 193 280 197  54 151 295 154
